,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Elizabeth,-33.92,25.57,59.0,62,52,21.92,ZA,7/13/2020
1,Bredasdorp,-34.53,20.04,50.0,81,91,17.22,ZA,7/13/2020
2,East London,-33.02,27.91,69.62,39,3,15.95,ZA,7/13/2020
3,Huesca,42.14,-0.41,88.0,31,24,12.75,ES,7/13/2020
4,Hobart,-42.88,147.33,41.0,86,90,2.24,AU,7/13/2020
5,Mahébourg,-20.41,57.7,71.6,88,75,18.34,MU,7/13/2020
6,Port Alfred,-33.59,26.89,62.78,37,59,30.06,ZA,7/13/2020
7,Ngama,11.78,17.17,93.33,40,50,9.86,TD,7/13/2020
8,Albany,42.6,-73.97,82.0,53,10,3.78,US,7/13/2020
9,Beringovskiy,63.05,179.32,48.72,90,100,6.15,RU,7/13/2020
10,Ciudad del Carmen,18.63,-91.83,82.4,78,20,14.99,MX,7/13/2020
11,Mataura,-46.19,168.86,39.0,83,91,3.0,NZ,7/13/2020
12,Corning,42.14,-77.05,75.2,57,75,9.17,US,7/13/2020
13,Rikitea,-23.12,-134.97,72.46,81,60,14.2,PF,7/13/2020
14,Puerto Ayora,-0.74,-90.35,73.4,73,75,21.92,EC,7/13/2020
15,Chicama,-7.84,-79.15,72.95,57,2,8.99,PE,7/13/2020
16,Yangi Marg`ilon,40.43,71.72,84.2,37,94,6.93,UZ,7/13/2020
17,Biharamulo,-2.63,31.31,75.54,34,87,4.72,TZ,7/13/2020
18,Upernavik,72.79,-56.15,41.16,91,100,3.58,GL,7/13/2020
19,Katsuura,35.13,140.3,73.0,93,100,1.01,JP,7/13/2020
20,Dzhebariki-Khaya,62.22,135.8,66.33,92,100,1.23,RU,7/13/2020
21,Jamestown,42.1,-79.24,72.0,64,75,12.75,US,7/13/2020
22,Arrondissement de Limoux,42.92,2.17,86.0,27,10,17.22,FR,7/13/2020
23,Yellowknife,62.46,-114.35,59.0,100,90,13.87,CA,7/13/2020
24,Talaya,61.38,152.75,65.5,46,90,3.62,RU,7/13/2020
25,Flinders,-34.58,150.86,55.0,78,6,8.01,AU,7/13/2020
26,Balkanabat,39.51,54.37,92.01,31,48,8.81,TM,7/13/2020
27,Butaritari,3.07,172.79,82.98,75,55,6.2,KI,7/13/2020
28,Longyearbyen,78.22,15.64,50.0,71,75,5.82,SJ,7/13/2020
29,Ushuaia,-54.8,-68.3,33.8,86,75,20.8,AR,7/13/2020
30,Lavrentiya,65.58,-171.0,43.56,79,100,5.37,RU,7/13/2020
31,Hithadhoo,-0.6,73.08,85.42,71,5,7.2,MV,7/13/2020
32,Cabo San Lucas,22.89,-109.91,82.99,78,75,3.36,MX,7/13/2020
33,Qaanaaq,77.48,-69.36,48.02,56,31,4.99,GL,7/13/2020
34,Leningradskiy,69.38,178.42,35.71,91,100,6.55,RU,7/13/2020
35,Batagay,67.63,134.63,57.81,86,100,9.01,RU,7/13/2020
36,Vaini,-21.2,-175.2,71.6,68,40,11.41,TO,7/13/2020
37,Mikkeli,61.69,27.27,62.94,56,53,3.8,FI,7/13/2020
38,Kavaratti,10.57,72.64,83.23,78,100,9.08,IN,7/13/2020
39,Oudtshoorn,-33.59,22.2,55.4,47,72,20.8,ZA,7/13/2020
40,São Filipe,14.9,-24.5,78.42,79,60,5.64,CV,7/13/2020
41,Kapaa,22.08,-159.32,77.0,78,40,17.22,US,7/13/2020
42,Saint George,37.1,-113.58,96.01,18,1,3.91,US,7/13/2020
43,Buala,-8.14,159.59,79.99,81,99,6.31,SB,7/13/2020
44,Airai,-8.93,125.41,54.82,92,16,4.32,TL,7/13/2020
45,Gornopravdinsk,60.05,69.9,65.39,67,2,4.79,RU,7/13/2020
46,Provideniya,64.38,-173.3,49.44,67,97,4.05,RU,7/13/2020
47,Punta Arenas,-53.15,-70.92,33.8,80,75,12.75,CL,7/13/2020
48,St. George's,12.06,-61.75,86.0,74,20,19.46,GD,7/13/2020
49,Tuktoyaktuk,69.45,-133.04,51.8,81,75,4.7,CA,7/13/2020
50,Chimbote,-9.09,-78.58,67.84,70,7,9.75,PE,7/13/2020
51,Lebu,-37.62,-73.65,50.34,77,10,3.38,CL,7/13/2020
52,Mt. Pleasant,32.79,-79.86,93.99,66,1,6.93,US,7/13/2020
53,Nanortalik,60.14,-45.24,45.88,91,100,2.95,GL,7/13/2020
54,Cidreira,-30.18,-50.21,56.14,53,95,12.26,BR,7/13/2020
55,New Norfolk,-42.78,147.06,37.99,91,0,2.13,AU,7/13/2020
56,Thompson,55.74,-97.86,64.4,93,90,5.82,CA,7/13/2020
57,Huéscar,37.81,-2.54,87.01,47,54,5.99,ES,7/13/2020
58,Tasiilaq,65.61,-37.64,44.6,75,75,3.36,GL,7/13/2020
59,Busselton,-33.65,115.33,62.01,74,86,31.25,AU,7/13/2020
60,Carnarvon,-24.87,113.63,69.8,88,62,9.17,AU,7/13/2020
61,Hermanus,-34.42,19.23,54.0,67,98,17.0,ZA,7/13/2020
62,Chara,56.91,118.26,61.75,76,93,1.12,RU,7/13/2020
63,Krasnaya Gorka,55.2,56.67,74.5,69,0,3.58,RU,7/13/2020
64,George Town,5.41,100.34,80.6,88,20,3.36,MY,7/13/2020
65,Hasaki,35.73,140.83,68.0,100,75,4.7,JP,7/13/2020
66,Tighina,46.83,29.47,71.6,37,82,16.11,MD,7/13/2020
67,Winkler,49.18,-97.94,71.6,100,75,10.29,CA,7/13/2020
68,Salé,34.04,-6.82,78.8,74,40,10.29,MA,7/13/2020
69,Dikson,73.51,80.55,39.87,99,100,10.49,RU,7/13/2020
70,Erdaojiang,41.78,126.03,64.9,87,100,2.57,CN,7/13/2020
