,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kichmengskiy Gorodok,59.98,45.79,76.84,87,67,3.58,RU,2020-07-15 13:06:46
1,Hobart,-42.88,147.33,46.4,75,90,5.82,AU,2020-07-15 13:05:23
2,Port Elizabeth,-33.92,25.57,62.6,45,15,4.7,ZA,2020-07-15 13:06:46
3,Diffa,13.32,12.61,94.78,33,2,3.65,NE,2020-07-15 13:06:46
4,Bathsheba,13.22,-59.52,86.0,66,20,11.41,BB,2020-07-15 13:05:06
5,Ponta do Sol,32.67,-17.1,75.99,62,4,5.39,PT,2020-07-15 13:06:46
6,Punta Arenas,-53.15,-70.92,30.2,86,19,8.05,CL,2020-07-15 13:05:04
7,Kumul,42.8,93.45,90.05,12,27,11.48,CN,2020-07-15 13:06:46
8,Provideniya,64.38,-173.3,46.29,94,100,5.7,RU,2020-07-15 13:07:12
9,Vestmannaeyjar,63.44,-20.27,52.54,91,100,23.2,IS,2020-07-15 13:06:47
10,Airai,-8.93,125.41,56.98,100,46,4.21,TL,2020-07-15 13:07:12
11,Jumla,29.27,82.18,68.36,68,58,2.53,NP,2020-07-15 13:07:12
12,Yulara,-25.24,130.99,46.4,31,0,4.7,AU,2020-07-15 13:07:13
13,Albany,42.6,-73.97,70.0,76,93,2.08,US,2020-07-15 13:05:02
14,Trairi,-3.28,-39.27,83.48,61,0,9.17,BR,2020-07-15 13:07:13
15,Tasiilaq,65.61,-37.64,44.6,75,75,4.7,GL,2020-07-15 13:06:48
16,Port Alfred,-33.59,26.89,62.11,39,0,6.2,ZA,2020-07-15 13:07:13
17,Muzaffarnagar,29.47,77.68,97.45,38,82,3.04,IN,2020-07-15 13:07:13
18,Jamestown,42.1,-79.24,66.0,93,1,6.6,US,2020-07-15 13:07:13
19,Trelew,-43.25,-65.31,36.57,74,15,5.55,AR,2020-07-15 13:06:48
20,Hong Kong,22.29,114.16,86.0,66,100,13.0,HK,2020-07-15 13:04:48
21,Aklavik,68.22,-135.01,50.0,87,75,8.05,CA,2020-07-15 13:07:14
22,Ahipara,-35.17,173.17,58.24,94,22,5.03,NZ,2020-07-15 13:07:14
23,Hualmay,-11.1,-77.61,62.76,79,60,8.41,PE,2020-07-15 13:07:14
24,Sangar,63.92,127.47,65.37,67,1,1.66,RU,2020-07-15 13:06:49
25,Puerto Ayora,-0.74,-90.35,66.0,98,73,3.0,EC,2020-07-15 13:06:49
26,Butaritari,3.07,172.79,82.65,74,90,9.04,KI,2020-07-15 13:06:49
27,Cam Ranh,11.92,109.16,86.0,79,40,9.17,VN,2020-07-15 13:06:49
28,Bredasdorp,-34.53,20.04,64.4,42,0,8.05,ZA,2020-07-15 13:06:49
29,Rikitea,-23.12,-134.97,73.11,87,100,9.55,PF,2020-07-15 13:06:50
30,Cidreira,-30.18,-50.21,47.17,67,0,7.07,BR,2020-07-15 13:06:50
31,Kapaa,22.08,-159.32,77.0,83,90,11.41,US,2020-07-15 13:06:50
32,Tafo,6.73,-1.61,74.64,78,100,5.5,GH,2020-07-15 13:06:50
33,Hermanus,-34.42,19.23,63.0,38,0,5.01,ZA,2020-07-15 13:06:50
34,Barrow,71.29,-156.79,33.8,100,90,10.29,US,2020-07-15 13:06:50
35,Chokurdakh,70.63,147.92,37.49,87,100,13.87,RU,2020-07-15 13:06:51
36,Bluff,-46.6,168.33,39.0,83,43,3.0,NZ,2020-07-15 13:06:51
37,Arrondissement de Saumur,47.33,-0.25,69.01,56,90,6.93,FR,2020-07-15 13:06:51
38,Saint Paul Harbor,57.79,-152.41,62.6,51,1,10.29,US,2020-07-15 13:06:51
39,Flinders,-34.58,150.86,55.0,63,77,8.01,AU,2020-07-15 13:06:51
40,New Norfolk,-42.78,147.06,46.0,83,100,0.76,AU,2020-07-15 13:06:51
41,Sol'-Iletsk,51.16,54.99,99.72,14,0,11.3,RU,2020-07-15 13:06:51
42,Bulgan,48.81,103.53,58.03,86,99,2.17,MN,2020-07-15 13:06:51
43,Ushuaia,-54.8,-68.3,26.6,92,40,6.93,AR,2020-07-15 13:06:52
44,Bethel,41.37,-73.41,68.0,88,90,4.7,US,2020-07-15 13:06:52
45,Mataura,-46.19,168.86,39.0,83,25,3.0,NZ,2020-07-15 13:06:52
46,Paraíso,9.84,-83.87,68.0,82,75,5.82,CR,2020-07-15 13:06:52
47,Ol'ga,43.74,135.29,56.19,92,0,2.24,RU,2020-07-15 13:06:52
